team,player_name,position,nationality,dateOfBirth,shirtNumber
Bayer 04 Leverkusen,Niklas Lomb,Goalkeeper,Germany,1993-07-28,
Bayer 04 Leverkusen,Lukáš Hrádecký,Goalkeeper,Finland,1989-11-24,
Bayer 04 Leverkusen,Matej Kovar,Goalkeeper,Czech Republic,2000-05-17,
Bayer 04 Leverkusen,Luca Novodomsky,Goalkeeper,Germany,2005-04-26,
Bayer 04 Leverkusen,Simeon Rapsch,Goalkeeper,Germany,2008-02-09,
Bayer 04 Leverkusen,Ben Hawighorst,Defence,Germany,2008-03-01,
Bayer 04 Leverkusen,Andrea Natali,Defence,Italy,2008-01-28,
Bayer 04 Leverkusen,Othniel Raterink,Midfield,Netherlands,2006-04-07,
Bayer 04 Leverkusen,Kerim Alajbegović,Midfield,Bosnia-Herzegovina,2007-09-21,
Bayer 04 Leverkusen,Alejo Sarco,Offence,Argentina,2006-01-06,
Bayer 04 Leverkusen,Piero Hincapié,Centre-Back,Ecuador,2002-01-09,
Bayer 04 Leverkusen,Edmond Tapsoba,Centre-Back,Burkina Faso,1999-02-02,
Bayer 04 Leverkusen,Robert Andrich,Defensive Midfield,Germany,1994-09-22,
Bayer 04 Leverkusen,Aleix García,Central Midfield,Spain,1997-06-28,
Bayer 04 Leverkusen,Mario Hermoso,Centre-Back,Spain,1995-06-18,
Bayer 04 Leverkusen,Emiliano Buendía,Attacking Midfield,Argentina,1996-12-25,
Bayer 04 Leverkusen,Florian Wirtz,Attacking Midfield,Germany,2003-05-03,
Bayer 04 Leverkusen,Alejandro Grimaldo,Left-Back,Spain,1995-09-20,
Bayer 04 Leverkusen,Exequiel Palacios,Central Midfield,Argentina,1998-10-05,
Bayer 04 Leverkusen,Martin Terrier,Left Winger,France,1997-03-04,
Bayer 04 Leverkusen,Nordi Mukiele,Right-Back,France,1997-11-01,
Bayer 04 Leverkusen,Jonas Hofmann,Attacking Midfield,Germany,1992-07-14,
Bayer 04 Leverkusen,Granit Xhaka,Defensive Midfield,Switzerland,1992-09-27,
Bayer 04 Leverkusen,Patrik Schick,Centre-Forward,Czech Republic,1996-01-24,
Bayer 04 Leverkusen,Jonathan Tah,Centre-Back,Germany,1996-02-11,
Bayer 04 Leverkusen,Artem Stepanov,Centre-Forward,Ukraine,2007-08-10,
Bayer 04 Leverkusen,Francis Onyeka,Attacking Midfield,Germany,2007-04-29,
Bayer 04 Leverkusen,Ken Izekor,Centre-Forward,Germany,2007-05-24,
Bayer 04 Leverkusen,Arthur Augusto,Right-Back,Brazil,2003-03-17,
Bayer 04 Leverkusen,Jeanuel Belocian,Centre-Back,France,2005-02-17,
Bayer 04 Leverkusen,Nathan Tella,Right Midfield,England,1999-07-05,
Bayer 04 Leverkusen,Amine Adli,Left Winger,Morocco,2000-05-10,
Bayer 04 Leverkusen,Victor Boniface,Centre-Forward,Nigeria,2000-12-23,
Bayer 04 Leverkusen,Jeremie Frimpong,Right Midfield,Netherlands,2000-12-10,
Borussia Dortmund,Gregor Kobel,Goalkeeper,Switzerland,1997-12-06,
Borussia Dortmund,Alexander Meyer,Goalkeeper,Germany,1991-04-13,
Borussia Dortmund,Marcel Lotka,Goalkeeper,Poland,2001-05-25,
Borussia Dortmund,Silas Ostrzinski,Goalkeeper,Germany,2003-11-19,
Borussia Dortmund,Robin Lisewski,Goalkeeper,Poland,2006-02-13,
Borussia Dortmund,Daniel Svensson,Defence,Sweden,2002-02-12,
Borussia Dortmund,Rodney Elongo-Yombo,Defence,Germany,2001-07-27,
Borussia Dortmund,David Lelle,Defence,Germany,2003-03-09,
Borussia Dortmund,Yannik Lührs,Defence,Germany,2003-09-09,
Borussia Dortmund,Jordi Paulina,Defence,Netherlands,2004-09-23,
Borussia Dortmund,Filippo Mané,Defence,Italy,2005-03-08,
Borussia Dortmund,Tyler Meiser,Defence,Germany,2007-03-01,
Borussia Dortmund,Elias Benkara,Defence,Germany,2007-04-29,
Borussia Dortmund,Ayman Azhil,Midfield,Morocco,2001-04-10,
Borussia Dortmund,Niklas Jessen,Midfield,Germany,2003-09-04,
Borussia Dortmund,Gio Reyna,Attacking Midfield,USA,2002-11-13,
Borussia Dortmund,Maximilian Beier,Centre-Forward,Germany,2002-10-17,
Borussia Dortmund,Felix Kalu Nmecha,Central Midfield,Germany,2000-10-10,
Borussia Dortmund,Karim Adeyemi,Left Winger,Germany,2002-01-18,
Borussia Dortmund,Nico Schlotterbeck,Centre-Back,Germany,1999-12-01,
Borussia Dortmund,Julian Ryerson,Right-Back,Norway,1997-11-17,
Borussia Dortmund,Marcel Sabitzer,Central Midfield,Austria,1994-03-17,
Borussia Dortmund,Ramy Bensebaini,Left-Back,Algeria,1995-04-16,
Borussia Dortmund,Pascal Groß,Central Midfield,Germany,1991-06-15,
Borussia Dortmund,Emre Can,Defensive Midfield,Germany,1994-01-12,
Borussia Dortmund,Waldemar Anton,Centre-Back,Germany,1996-07-20,
Borussia Dortmund,Niklas Süle,Centre-Back,Germany,1995-09-03,
Borussia Dortmund,Sehrou Guirassy,Centre-Forward,Guinea,1996-03-12,
Borussia Dortmund,Salih Özcan,Defensive Midfield,Turkey,1998-01-11,
Borussia Dortmund,Julian Brandt,Attacking Midfield,Germany,1996-05-02,
Borussia Dortmund,Cole Campbell,Right Winger,USA,2006-02-20,
Borussia Dortmund,Almugera Kabar,Left-Back,Germany,2006-06-06,
Borussia Dortmund,Kjell Wätjen,Central Midfield,Germany,2006-02-16,
Borussia Dortmund,Julien Duranville,Left Winger,Belgium,2006-05-05,
Borussia Dortmund,Jamie Bynoe-Gittens,Left Winger,England,2004-08-08,
Borussia Dortmund,Carney Chukwuemeka,Central Midfield,England,2003-10-20,
Borussia Dortmund,Yan Couto,Right-Back,Brazil,2002-06-03,
FC Bayern München,Manuel Neuer,Goalkeeper,Germany,1986-03-27,
FC Bayern München,Sven Ulreich,Goalkeeper,Germany,1988-08-03,
FC Bayern München,Daniel Peretz,Goalkeeper,Israel,2000-07-10,
FC Bayern München,Jonas Urbig,Goalkeeper,Germany,2003-08-08,
FC Bayern München,Max Schmitt,Goalkeeper,Germany,2006-01-18,
FC Bayern München,Anthony Pavlešić,Goalkeeper,Australia,2006-01-31,
FC Bayern München,Leon Klanac,Goalkeeper,Germany,2007-03-01,
FC Bayern München,Gabriel Vidovic,Midfield,Croatia,2003-12-01,
FC Bayern München,Lennart Karl,Midfield,Germany,2008-02-22,
FC Bayern München,Thomas Müller,Offence,Germany,1989-09-13,
FC Bayern München,Jonah Kusi-Asare,Offence,Sweden,2007-07-04,
FC Bayern München,Wisdom Mike,Offence,Germany,2008-09-24,
FC Bayern München,Michael Olise,Right Winger,France,2001-12-12,
FC Bayern München,Hiroki Ito,Centre-Back,Japan,1999-05-12,
