id,name,shortName,tla,area,venue,logo_url
3,Bayer 04 Leverkusen,Leverkusen,B04,Germany,BayArena,https://crests.football-data.org/3.png
4,Borussia Dortmund,Dortmund,BVB,Germany,Signal Iduna Park,https://crests.football-data.org/4.png
5,FC Bayern München,Bayern,FCB,Germany,Allianz Arena,https://crests.football-data.org/5.png
10,VfB Stuttgart,Stuttgart,VFB,Germany,Mercedes-Benz Arena,https://crests.football-data.org/10.png
57,Arsenal FC,Arsenal,ARS,England,Emirates Stadium,https://crests.football-data.org/57.png
58,Aston Villa FC,Aston Villa,AVL,England,Villa Park,https://crests.football-data.org/58.png
64,Liverpool FC,Liverpool,LIV,England,Anfield,https://crests.football-data.org/64.png
65,Manchester City FC,Man City,MCI,England,Etihad Stadium,https://crests.football-data.org/65.png
78,Club Atlético de Madrid,Atleti,ATL,Spain,Estadio Wanda Metropolitano,https://crests.football-data.org/78.png
81,FC Barcelona,Barça,FCB,Spain,Camp Nou,https://crests.football-data.org/81.png
86,Real Madrid CF,Real Madrid,RMA,Spain,Estadio Santiago Bernabéu,https://crests.football-data.org/86.png
98,AC Milan,Milan,MIL,Italy,Stadio Giuseppe Meazza,https://crests.football-data.org/98.png
102,Atalanta BC,Atalanta,ATA,Italy,Stadio Atleti Azzurri d'Italia,https://crests.football-data.org/102.png
103,Bologna FC 1909,Bologna,BOL,Italy,Stadio Renato Dall'Ara,https://crests.football-data.org/103.png
108,FC Internazionale Milano,Inter,INT,Italy,Stadio Giuseppe Meazza,https://crests.football-data.org/108.png
109,Juventus FC,Juventus,JUV,Italy,Allianz Stadium,https://crests.football-data.org/109.png
298,Girona FC,Girona,GIR,Spain,Estadi Municipal de Montilivi,https://crests.football-data.org/298.png
498,Sporting Clube de Portugal,Sporting CP,SPO,Portugal,Estádio José Alvalade,https://crests.football-data.org/498.png
512,Stade Brestois 29,Brest,BRE,France,Stade Francis-Le Blé,https://crests.football-data.org/512.png
521,Lille OSC,Lille,LIL,France,Stade Pierre-Mauroy,https://crests.football-data.org/521.png
524,Paris Saint-Germain FC,PSG,PSG,France,Parc des Princes,https://crests.football-data.org/524.png
548,AS Monaco FC,Monaco,ASM,Monaco,Stade Louis II.,https://crests.football-data.org/548.png
674,PSV,PSV,PSV,Netherlands,Philips Stadion,https://crests.football-data.org/674.png
675,Feyenoord Rotterdam,Feyenoord,FEY,Netherlands,Stadion Feijenoord,https://crests.football-data.org/675.png
721,RB Leipzig,RB Leipzig,RBL,Germany,Red Bull Arena,https://crests.football-data.org/721.png
732,Celtic FC,Celtic,CEL,Scotland,Celtic Park,https://crests.football-data.org/732.png
755,GNK Dinamo Zagreb,Dinamo Zagreb,DIN,Croatia,Stadion Maksimir,https://crests.football-data.org/755.png
851,Club Brugge KV,Club Brugge,CLU,Belgium,Jan Breydelstadion,https://crests.football-data.org/851.png
907,AC Sparta Praha,Sparta Praha,SPP,Czech Republic,Generali Arena,https://crests.football-data.org/907.png
1871,BSC Young Boys,Young Boys,YOB,Switzerland,Wankdorfstadion,https://crests.football-data.org/1871.png
1877,FC Red Bull Salzburg,RB Salzburg,RBS,Austria,Red Bull Arena,https://crests.football-data.org/1877.png
1887,FK Shakhtar Donetsk,Shaktar,SHD,Ukraine,Oblasny SportKomplex Metalist,https://crests.football-data.org/1887.png
1903,Sport Lisboa e Benfica,SL Benfica,BEN,Portugal,Estádio do Sport Lisboa e Benfica,https://crests.football-data.org/1903.png
2021,SK Sturm Graz,Sturm Graz,STU,Austria,Merkur Arena,https://crests.football-data.org/2021.png
7283,FK Crvena Zvezda,Crvena Zvedza,CRV,Serbia,Stadion Rajko Mitić,https://crests.football-data.org/7283.png
7509,ŠK Slovan Bratislava,Sl. Bratislava,SBA,Slovakia,Štadión Tehelné pole,https://crests.football-data.org/7509.png
