Name,Goals,Team,Nationality
Sehrou Guirassy,13,Borussia Dortmund,Guinea
Raphinha,13,FC Barcelona,Brazil
Harry Kane,11,FC Bayern München,England
Robert Lewandowski,11,FC Barcelona,Poland
Lautaro Martínez,9,FC Internazionale Milano,Argentina
Erling Haaland,8,Manchester City FC,Norway
Vinicius Junior,8,Real Madrid CF,Brazil
Ousmane Dembélé,8,Paris Saint-Germain FC,France
Kylian Mbappé,7,Real Madrid CF,France
Jonathan David,7,Lille OSC,Canada
Julián Álvarez,7,Club Atlético de Madrid,Argentina
Vangelis Pavlidis,7,Sport Lisboa e Benfica,Greece
Viktor Gyökeres,6,Sporting Clube de Portugal,Sweden
Florian Wirtz,6,Bayer 04 Leverkusen,Germany
Antoine Griezmann,6,Club Atlético de Madrid,France
Bukayo Saka,6,Arsenal FC,England
Santiago Giménez,6,AC Milan,Mexico
Michael Olise,5,FC Bayern München,France
Lamine Yamal,5,FC Barcelona,Spain
Karim Adeyemi,5,Borussia Dortmund,Germany
Ademola Lookman,5,Atalanta BC,Nigeria
Desire Doue,5,Paris Saint-Germain FC,France
Rodrygo,5,Real Madrid CF,Brazil
Christian Pulisic,4,AC Milan,USA
Jamie Bynoe-Gittens,4,Borussia Dortmund,England
Daizen Maeda,4,Celtic FC,Japan
Muhammed Kerem Aktürkoğlu,4,Sport Lisboa e Benfica,Turkey
Orkun Kökçü,4,Sport Lisboa e Benfica,Turkey
Benjamin Šeško,4,RB Leipzig,Slovenia
Hakan Çalhanoğlu,4,FC Internazionale Milano,Turkey
Kai Havertz,4,Arsenal FC,Germany
Dušan Vlahović,4,Juventus FC,Serbia
Achraf Hakimi,4,Paris Saint-Germain FC,Morocco
Marcus Thuram-Ulien,4,FC Internazionale Milano,France
Charles De Ketelaere,4,Atalanta BC,Belgium
Nuno Mendes,4,Paris Saint-Germain FC,Portugal
Declan Rice,4,Arsenal FC,England
Morgan Rogers,4,Aston Villa FC,England
Weston McKennie,3,Juventus FC,USA
Ismael Saibari,3,PSV,Morocco
Adam Idah,3,Celtic FC,Ireland
Abdallah Sima,3,Stade Brestois 29,Senegal
Phil Foden,3,Manchester City FC,England
Antoni Milambo,3,Feyenoord Rotterdam,Netherlands
Jhon Durán,3,Aston Villa FC,Colombia
Mohamed Salah,3,Liverpool FC,Egypt
Takumi Minamino,3,AS Monaco FC,Japan
Tijjani Reijnders,3,AC Milan,Netherlands
John McGinn,3,Aston Villa FC,Scotland
Sandro Kulenović,3,GNK Dinamo Zagreb,Croatia
Ryan Flamingo,3,PSV,Netherlands
Malik Tillman,3,PSV,USA
Luis Díaz,3,Liverpool FC,Colombia
Cody Gakpo,3,Liverpool FC,Netherlands
Nicolas Kühn,3,Celtic FC,Germany
Ángel Correa,3,Club Atlético de Madrid,Argentina
Anis Moussa,3,Feyenoord Rotterdam,Algeria
Jamal Musiala,3,FC Bayern München,Germany
Rafael Leão,3,AC Milan,Portugal
Mateo Retegui,3,Atalanta BC,Italy
Nemanja Radonjić,3,FK Crvena Zvezda,Serbia
Jude Bellingham,3,Real Madrid CF,England
Thomas Müller,3,FC Bayern München,Germany
Gonçalo Ramos,3,Paris Saint-Germain FC,Portugal
Hákon Haraldsson,3,Lille OSC,Iceland
Ferrán Torres,3,FC Barcelona,Spain
Mario Pašalić,3,Atalanta BC,Croatia
Harvey Elliott,3,Liverpool FC,England
Bradley Barcola,3,Paris Saint-Germain FC,France
Martin Ødegaard,3,Arsenal FC,Norway
Ivan Perišić,3,PSV,Croatia
Khvicha Kvaratskhelia,3,Paris Saint-Germain FC,Georgia
Marco Asensio,3,Aston Villa FC,Spain
Youri Tielemans,2,Aston Villa FC,Belgium
Bruno Petković,2,GNK Dinamo Zagreb,Croatia
Antonio Rüdiger,2,Real Madrid CF,Germany
Kaan Kairinen,2,AC Sparta Praha,Finland
Victor Olatunji,2,AC Sparta Praha,Nigeria
Alejandro Grimaldo,2,Bayer 04 Leverkusen,Spain
Milson,2,FK Crvena Zvezda,Angola
